@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
592,594,-3,False,True,True,True,True,0,0,0,14,1,3,West,True,False,False,True,South
991,593,196,False,False,True,True,True,0,0,0,12,1,2,South,True,False,True,False,South
1590,592,395,False,False,True,True,True,3,0,0,15,1,1,South,True,True,False,False,North
1789,991,594,False,False,True,True,True,0,0,0,11,1,2,North,True,False,True,False,South
1788,1590,593,False,False,True,True,True,0,0,0,14,1,1,South,True,True,False,False,East
2187,1789,592,False,False,True,True,True,0,0,0,12,2,1,East,False,True,False,True,East
2186,1788,991,False,False,True,False,True,0,0,0,7,3,1,East,False,True,False,True,East
2385,2187,1590,False,False,False,False,True,2,0,0,12,4,1,East,False,True,False,True,East
2584,2186,1789,False,False,False,False,True,2,0,0,13,5,1,East,False,True,False,True,East
2783,2385,1788,False,False,False,False,True,7,0,0,10,6,1,East,False,True,False,True,West
3182,2584,2187,False,False,False,False,True,3,0,0,11,5,1,West,False,True,False,True,West
3381,2783,2186,False,False,False,False,True,5,0,0,13,4,1,West,False,True,False,True,East
3380,3182,2385,False,False,False,False,True,5,0,0,5,5,1,East,False,True,False,True,East
3579,3381,2584,False,False,False,False,True,6,0,0,10,6,1,East,False,True,False,True,West
3778,3380,2783,False,False,False,False,True,4,0,0,14,5,1,West,False,True,False,True,West
4177,3579,3182,False,False,False,False,True,0,0,0,11,4,1,West,False,True,False,True,East
4376,3778,3381,False,False,False,False,True,0,0,0,12,5,1,East,False,True,False,True,West
4775,4177,3380,False,False,False,False,True,0,0,0,10,4,1,West,False,True,False,True,West
