@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
-20,-18,-15,False,True,True,True,True,5,9,23,28,1,7,South,True,False,True,False,South
179,-19,-16,False,True,True,True,True,3,6,20,27,1,6,South,True,False,False,False,East
178,-20,-17,False,True,True,True,True,0,9,20,32,2,6,East,False,False,False,True,East
177,179,-18,False,True,True,True,True,3,9,20,25,3,6,East,False,False,False,False,North
176,178,-19,False,True,True,True,True,0,8,16,27,3,7,North,True,False,False,False,East
175,177,-20,False,True,True,True,True,1,6,12,26,4,7,East,False,False,False,False,East
174,176,179,False,False,True,True,True,0,6,21,25,5,7,East,False,False,False,False,South
173,175,178,False,False,True,True,True,0,3,15,27,5,6,South,False,False,False,False,South
172,174,177,False,False,True,True,True,0,8,14,21,5,5,South,False,False,True,False,South
171,173,176,False,False,True,True,True,0,9,17,21,5,4,South,False,False,True,False,South
170,172,175,False,False,True,True,True,0,11,19,25,5,3,South,False,True,False,False,East
169,171,174,False,False,True,True,True,0,10,16,18,6,3,East,False,True,False,True,East
168,170,173,False,False,True,True,True,0,9,17,21,7,3,East,False,True,False,True,East
167,169,172,False,False,True,True,True,0,10,15,19,8,3,East,False,True,False,False,East
166,168,171,False,False,True,True,True,0,9,13,17,9,3,East,False,True,False,False,North
165,167,170,False,False,True,True,True,0,6,13,15,9,4,North,False,False,False,False,North
364,166,169,False,False,True,True,True,0,6,13,17,9,5,North,False,False,False,False,North
363,165,168,False,False,True,True,True,0,4,13,19,9,6,North,False,False,False,False,North
362,364,167,False,False,True,True,True,0,4,15,21,9,7,North,False,False,False,False,North
361,363,166,False,False,True,True,True,0,3,13,18,9,8,North,False,False,False,False,North
360,362,165,False,False,True,True,True,0,6,15,22,9,9,North,False,False,False,False,East
359,361,364,False,False,False,True,True,0,0,16,27,10,9,East,False,False,False,False,North
358,360,363,False,False,False,True,True,0,0,17,24,10,10,North,False,False,False,False,North
357,359,362,False,False,False,True,True,0,0,18,24,10,11,North,False,False,False,False,North
356,358,361,False,False,False,True,True,0,0,17,21,10,12,North,False,False,False,False,East
355,357,360,False,False,False,True,True,0,0,21,18,11,12,East,False,False,False,True,East
354,356,359,False,False,False,True,True,0,0,18,16,12,12,East,False,True,False,True,East
353,355,358,False,False,False,True,True,0,0,18,14,13,12,East,False,False,False,True,South
352,354,357,False,False,False,True,True,0,0,17,15,13,11,South,True,False,False,False,South
351,353,356,False,False,False,True,True,0,0,17,14,13,10,South,True,False,False,False,South
350,352,355,False,False,False,True,True,0,0,17,15,13,9,South,True,False,False,False,South
349,351,354,False,False,False,True,True,0,0,13,13,13,8,South,True,False,False,False,South
348,350,353,False,False,False,True,True,0,0,12,12,13,7,South,True,False,False,False,East
347,349,352,False,False,False,True,True,0,0,14,11,14,7,East,False,False,True,False,South
346,348,351,False,False,False,True,True,0,0,13,11,14,6,South,False,False,False,False,South
345,347,350,False,False,False,True,True,0,0,14,10,14,5,South,False,False,True,False,South
344,346,349,False,False,False,True,True,0,0,16,10,14,4,South,False,False,False,False,East
343,345,348,False,False,False,True,True,0,0,15,9,15,4,East,False,False,False,True,East
342,344,347,False,False,False,True,True,0,0,16,6,16,4,East,False,False,False,True,East
341,343,346,False,False,False,True,True,0,0,9,6,17,4,East,False,False,False,False,East
340,342,345,False,False,False,True,True,0,0,11,9,18,4,East,False,False,False,False,East
339,341,344,False,False,False,True,True,0,0,11,8,19,4,East,False,False,False,False,East
338,340,343,False,False,False,True,True,0,0,7,8,20,4,East,False,False,False,False,East
337,339,342,False,False,False,True,True,0,0,5,5,21,4,East,False,False,False,True,East
536,338,341,False,False,False,True,True,0,0,6,9,22,4,East,False,False,False,True,East
535,337,340,False,False,False,True,True,0,0,3,7,23,4,East,False,False,False,False,North
534,536,339,False,False,False,True,True,0,0,4,4,23,5,North,True,False,False,False,North
533,535,338,False,False,False,True,True,0,0,2,5,23,6,North,False,False,False,False,North
532,534,337,False,False,False,True,True,0,0,0,5,23,7,North,True,False,False,False,North
531,533,536,False,False,False,False,True,0,0,0,2,23,8,North,False,False,False,False,North
530,532,535,False,False,False,False,True,0,0,0,5,23,9,North,True,False,False,False,South
529,531,534,False,False,False,False,True,0,0,0,3,23,8,South,False,False,False,False,West
-5,-3,0,False,True,True,True,True,13,25,26,34,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,12,22,29,37,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,12,25,25,35,1,18,Stop,True,False,False,True,Stop
-8,-6,-3,False,True,True,True,True,14,25,27,30,1,18,Stop,True,False,False,True,South
-9,-7,-4,False,True,True,True,True,12,27,27,34,1,17,South,True,False,True,False,South
-10,-8,-5,False,True,True,True,True,8,20,25,35,1,16,South,True,False,False,False,South
-11,-9,-6,False,True,True,True,True,10,18,23,34,1,15,South,True,False,False,False,South
-12,-10,-7,False,True,True,True,True,9,17,23,30,1,14,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,8,21,22,33,1,13,South,True,False,True,False,South
-14,-12,-9,False,True,True,True,True,6,14,22,28,1,12,South,True,False,False,False,South
-15,-13,-10,False,True,True,True,True,7,10,18,28,1,11,South,True,False,True,False,South
-16,-14,-11,False,True,True,True,True,8,9,24,29,1,10,South,True,False,True,False,South
