@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
542,344,347,False,False,False,True,True,0,0,20,2,21,18,North,False,False,False,True,East
541,343,346,False,False,False,True,True,0,0,22,6,22,18,East,False,True,False,True,East
540,542,345,False,False,False,True,True,0,0,21,4,23,18,East,False,True,False,True,East
539,541,344,False,False,False,True,True,0,0,19,3,24,18,East,False,True,False,True,East
538,540,343,False,False,False,True,True,0,0,25,0,25,18,East,False,False,True,True,South
537,539,542,False,False,False,True,False,0,0,21,0,25,17,South,True,False,True,False,South
536,538,541,False,False,False,True,False,0,0,20,0,25,16,South,False,False,True,False,South
535,537,540,False,False,False,True,False,0,0,16,0,25,15,South,False,False,True,False,West
534,536,539,False,False,False,True,False,0,0,21,0,24,15,West,False,False,False,False,West
533,535,538,False,False,False,True,False,0,0,18,0,23,15,West,False,False,False,False,West
532,534,537,False,False,False,True,False,0,0,18,0,22,15,West,False,False,False,False,West
531,533,536,False,False,False,True,False,0,0,17,0,21,15,West,False,True,False,False,West
530,532,535,False,False,False,True,False,0,0,15,0,20,15,West,True,False,False,False,South
529,531,534,False,False,False,True,False,0,0,12,0,20,14,South,False,False,True,False,South
528,530,533,False,False,False,True,False,0,0,11,0,20,13,South,False,False,True,False,South
527,529,532,False,False,False,True,False,0,0,13,0,20,12,South,False,False,True,False,South
526,528,531,False,False,False,True,False,0,0,14,0,20,11,South,False,False,True,False,South
525,527,530,False,False,False,True,False,0,0,8,0,20,10,South,False,True,False,False,West
524,526,529,False,False,False,True,False,0,0,12,0,19,10,West,False,True,False,False,West
523,525,528,False,False,False,True,False,0,0,12,0,18,10,West,False,True,False,False,West
522,524,527,False,False,False,True,False,0,0,10,0,17,10,West,False,True,False,False,West
521,523,526,False,False,False,True,False,0,0,9,0,16,10,West,False,True,False,False,West
520,522,525,False,False,False,True,False,0,0,6,0,15,10,West,False,True,False,False,West
519,521,524,False,False,False,True,False,0,0,10,0,14,10,West,False,False,False,False,South
518,520,523,False,False,False,True,False,0,0,7,0,14,9,South,False,False,True,False,South
517,519,522,False,False,False,True,False,0,0,5,0,14,8,South,False,False,False,False,South
516,518,521,False,False,False,True,False,0,0,6,0,14,7,South,False,False,True,False,South
515,517,520,False,False,False,True,False,0,0,3,0,14,6,South,False,False,False,False,South
514,516,519,False,False,False,True,False,0,0,3,0,14,5,South,False,False,True,False,South
513,515,518,False,False,False,True,False,0,0,4,0,14,4,South,False,False,False,False,South
512,514,517,False,False,False,True,False,0,0,0,0,14,3,South,False,True,False,False,West
511,513,516,False,False,False,True,False,0,0,8,0,13,3,West,True,True,False,False,North
510,512,515,False,False,False,True,False,0,0,5,0,13,4,North,True,False,False,False,East
-5,-3,0,False,True,True,True,True,14,26,28,28,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,19,26,27,34,1,18,Stop,True,False,False,True,South
-7,-5,-2,False,True,True,True,True,13,21,27,30,1,17,South,True,False,True,False,South
-8,-6,-3,False,True,True,True,True,16,21,23,27,1,16,South,True,False,False,False,South
-9,-7,-4,False,True,True,True,True,12,19,21,24,1,15,South,True,False,False,False,South
-10,-8,-5,False,True,True,True,True,13,20,17,23,1,14,South,True,False,False,False,South
-11,-9,-6,False,True,True,True,True,13,22,16,27,1,13,South,True,False,True,False,South
-12,-10,-7,False,True,True,True,True,12,16,18,27,1,12,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,12,18,16,29,1,11,South,True,False,True,False,South
-14,-12,-9,False,True,True,True,True,11,12,18,28,1,10,South,True,False,True,False,South
-15,-13,-10,False,True,True,True,True,4,13,15,28,1,9,South,True,False,True,False,South
-16,-14,-11,False,True,True,True,True,11,14,13,27,1,8,South,True,False,True,False,South
-17,-15,-12,False,True,True,True,True,7,11,13,30,1,7,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,6,13,13,30,1,6,South,True,False,False,False,East
