@relation manual-filter-data

@attribute score5 numeric
@attribute score2 numeric
@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute distancia-media numeric
@attribute move {North,South,East,West,Stop}

@data
368,370,173,False,True,True,True,0,1,9,14,10,9,East,6,North
367,369,172,False,True,True,True,0,0,10,18,10,10,North,7,West
366,368,371,False,False,True,True,0,0,11,26,9,10,West,9.25,South
365,367,370,False,False,True,True,0,0,9,22,9,9,South,7.75,North
364,366,369,False,False,True,True,0,0,12,18,9,10,North,7.5,North
363,365,368,False,False,True,True,0,0,11,19,9,11,North,7.5,East
362,364,367,False,False,True,True,0,0,8,17,10,11,East,6.25,North
361,363,366,False,False,True,True,0,0,14,21,10,12,North,8.75,North
360,362,365,False,False,True,True,0,0,14,18,10,13,North,8,North
359,361,364,False,False,True,True,0,0,9,14,10,14,North,5.75,North
358,360,363,False,False,True,True,0,0,15,16,10,15,North,7.75,East
357,359,362,False,False,True,True,0,0,15,14,11,15,East,7.25,East
356,358,361,False,False,True,True,0,0,15,14,12,15,East,7.25,East
355,357,360,False,False,True,True,0,0,15,12,13,15,East,6.75,East
354,356,359,False,False,True,True,0,0,8,11,14,15,East,4.75,South
353,355,358,False,False,True,True,0,0,13,12,14,14,South,6.25,East
352,354,357,False,False,True,True,0,0,10,17,15,14,East,6.75,East
351,353,356,False,False,True,True,0,0,13,14,16,14,East,6.75,East
350,352,355,False,False,True,True,0,0,13,10,17,14,East,5.75,East
349,351,354,False,False,True,True,0,0,9,13,18,14,East,5.5,East
348,350,353,False,False,True,True,0,0,14,9,19,14,East,5.75,East
347,349,352,False,False,True,True,0,0,18,9,20,14,East,6.75,North
346,348,351,False,False,True,True,0,0,14,8,20,15,North,5.5,North
345,347,350,False,False,True,True,0,0,20,2,20,16,North,5.5,East
344,346,349,False,False,True,True,0,0,18,4,21,16,East,5.5,North
343,345,348,False,False,True,True,0,0,14,3,21,17,North,4.25,North
542,344,347,False,False,True,True,0,0,20,2,21,18,North,5.5,East
541,343,346,False,False,True,True,0,0,22,6,22,18,East,7,East
540,542,345,False,False,True,True,0,0,21,4,23,18,East,6.25,East
539,541,344,False,False,True,True,0,0,19,3,24,18,East,5.5,East
538,540,343,False,False,True,True,0,0,25,0,25,18,East,6.25,South
537,539,542,False,False,True,False,0,0,21,0,25,17,South,5.25,South
