@relation prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute scoreN numeric
@attribute ghost1-livingN {True,False}
@attribute ghost2-livingN {True,False}
@attribute ghost3-livingN {True,False}
@attribute ghost4-livingN {True,False}
@attribute distance-ghost1N numeric
@attribute distance-ghost2N numeric
@attribute distance-ghost3N numeric
@attribute distance-ghost4N numeric
@attribute prev-distance-ghost1N numeric
@attribute prev-distance-ghost2N numeric
@attribute prev-distance-ghost3N numeric
@attribute prev-distance-ghost4N numeric
@attribute posXN numeric
@attribute posYN numeric
@attribute directionN {North,South,East,West,Stop}
@attribute wall-eastN {True,False}
@attribute wall-southN {True,False}
@attribute wall-westN {True,False}
@attribute wall-northN {True,False}
@attribute moveN {North,South,East,West,Stop}
@attribute fx numeric

@data
-15,True,True,True,True,10,15,3,0,11,19,4,1,15,8,South,False,False,False,False,West,182,True,True,True,False,11,14,2,0,11,13,0,0,13,9,West,False,False,False,False,South,7.017824
182,True,True,True,False,11,14,2,0,11,13,0,0,13,9,West,False,False,False,False,South,379,True,True,False,False,9,18,0,0,13,15,0,0,12,7,West,False,False,False,False,West,1.690425
381,True,True,False,False,10,11,0,0,11,14,2,0,13,8,South,False,False,False,False,South,378,True,True,False,False,7,11,0,0,9,18,0,0,11,7,West,False,False,False,False,West,2.088638
380,True,True,False,False,13,15,0,0,10,11,0,0,13,7,South,False,False,False,False,West,377,True,True,False,False,6,10,0,0,7,11,0,0,10,7,West,False,False,False,False,North,2.737022
379,True,True,False,False,9,18,0,0,13,15,0,0,12,7,West,False,False,False,False,West,376,True,True,False,False,4,11,0,0,6,10,0,0,10,8,North,False,False,False,False,West,3.884562
378,True,True,False,False,7,11,0,0,9,18,0,0,11,7,West,False,False,False,False,West,375,True,True,False,False,4,10,0,0,4,11,0,0,9,8,West,False,False,False,False,West,3.884562
377,True,True,False,False,6,10,0,0,7,11,0,0,10,7,West,False,False,False,False,North,374,True,True,False,False,5,9,0,0,4,10,0,0,8,8,West,False,False,False,False,West,3.989639
376,True,True,False,False,4,11,0,0,6,10,0,0,10,8,North,False,False,False,False,West,373,True,True,False,False,4,8,0,0,5,9,0,0,7,8,West,False,False,False,False,West,7.541457
374,True,True,False,False,5,9,0,0,4,10,0,0,8,8,West,False,False,False,False,West,571,False,True,False,False,0,4,0,0,0,5,0,0,5,8,West,False,False,False,False,North,5.976249
373,True,True,False,False,4,8,0,0,5,9,0,0,7,8,West,False,False,False,False,West,570,False,True,False,False,0,1,0,0,0,4,0,0,5,9,North,False,False,False,False,West,8.964374
