@relation prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute scoreN numeric
@attribute ghost1-livingN {True,False}
@attribute ghost2-livingN {True,False}
@attribute ghost3-livingN {True,False}
@attribute ghost4-livingN {True,False}
@attribute distance-ghost1N numeric
@attribute distance-ghost2N numeric
@attribute distance-ghost3N numeric
@attribute distance-ghost4N numeric
@attribute prev-distance-ghost1N numeric
@attribute prev-distance-ghost2N numeric
@attribute prev-distance-ghost3N numeric
@attribute prev-distance-ghost4N numeric
@attribute posXN numeric
@attribute posYN numeric
@attribute directionN {North,South,East,West,Stop}
@attribute wall-eastN {True,False}
@attribute wall-southN {True,False}
@attribute wall-westN {True,False}
@attribute wall-northN {True,False}
@attribute moveN {North,South,East,West,Stop}
@attribute fx numeric

@data
537,True,False,False,False,21,0,0,0,15,0,0,0,24,6,South,True,False,True,False,South,534,True,False,False,False,12,0,0,0,14,0,0,0,22,5,West,False,True,False,True,West,1.410895
536,True,False,False,False,15,0,0,0,21,0,0,0,24,5,South,False,True,False,False,West,533,True,False,False,False,12,0,0,0,12,0,0,0,21,5,West,True,True,False,False,North,1.567661
535,True,False,False,False,14,0,0,0,15,0,0,0,23,5,West,False,True,False,True,West,532,True,False,False,False,12,0,0,0,12,0,0,0,21,6,North,True,False,True,False,North,1.763619
534,True,False,False,False,12,0,0,0,14,0,0,0,22,5,West,False,True,False,True,West,531,True,False,False,False,14,0,0,0,12,0,0,0,21,7,North,True,False,True,False,North,1.881193
533,True,False,False,False,12,0,0,0,12,0,0,0,21,5,West,True,True,False,False,North,530,True,False,False,False,14,0,0,0,14,0,0,0,21,8,North,False,False,True,False,West,2.015564
532,True,False,False,False,12,0,0,0,12,0,0,0,21,6,North,True,False,True,False,North,529,True,False,False,False,16,0,0,0,14,0,0,0,20,8,West,False,True,False,True,West,2.015564
531,True,False,False,False,14,0,0,0,12,0,0,0,21,7,North,True,False,True,False,North,528,True,False,False,False,13,0,0,0,16,0,0,0,19,8,West,False,True,False,True,West,2.351492
530,True,False,False,False,14,0,0,0,14,0,0,0,21,8,North,False,False,True,False,West,527,True,False,False,False,9,0,0,0,13,0,0,0,18,8,West,False,False,False,True,West,2.82179
529,True,False,False,False,16,0,0,0,14,0,0,0,20,8,West,False,True,False,True,West,526,True,False,False,False,9,0,0,0,9,0,0,0,17,8,West,False,True,False,True,West,2.82179
528,True,False,False,False,13,0,0,0,16,0,0,0,19,8,West,False,True,False,True,West,525,True,False,False,False,10,0,0,0,9,0,0,0,16,8,West,False,True,False,True,West,2.82179
527,True,False,False,False,9,0,0,0,13,0,0,0,18,8,West,False,False,False,True,West,524,True,False,False,False,8,0,0,0,10,0,0,0,15,8,West,False,True,False,False,West,3.527238
526,True,False,False,False,9,0,0,0,9,0,0,0,17,8,West,False,True,False,True,West,523,True,False,False,False,6,0,0,0,8,0,0,0,14,8,West,False,True,False,True,West,4.031129
525,True,False,False,False,10,0,0,0,9,0,0,0,16,8,West,False,True,False,True,West,522,True,False,False,False,6,0,0,0,6,0,0,0,13,8,West,False,True,False,True,West,5.64358
524,True,False,False,False,8,0,0,0,10,0,0,0,15,8,West,False,True,False,False,West,521,True,False,False,False,5,0,0,0,6,0,0,0,12,8,West,False,True,False,False,West,7.054476
523,True,False,False,False,6,0,0,0,8,0,0,0,14,8,West,False,True,False,True,West,520,True,False,False,False,1,0,0,0,5,0,0,0,11,8,West,False,True,False,True,West,14.108951
522,True,False,False,False,6,0,0,0,6,0,0,0,13,8,West,False,True,False,True,West,519,True,False,False,False,1,0,0,0,1,0,0,0,10,8,West,False,True,False,True,West,14.108951
521,True,False,False,False,5,0,0,0,6,0,0,0,12,8,West,False,True,False,False,West,518,True,False,False,False,2,0,0,0,1,0,0,0,9,8,West,False,False,False,True,South,14.108951
-3,True,True,True,True,17,23,24,24,17,18,29,23,2,14,Stop,False,False,False,True,East,-6,True,True,True,True,16,15,20,25,17,20,20,23,5,14,East,False,False,False,True,East,1.149279
-4,True,True,True,True,18,18,20,23,17,23,24,24,3,14,East,False,False,False,True,East,-7,True,True,True,True,20,14,17,24,16,15,20,25,6,14,East,False,False,False,True,East,1.1611
-5,True,True,True,True,17,20,20,23,18,18,20,23,4,14,East,False,False,False,True,East,-8,True,True,True,True,13,14,19,25,20,14,17,24,7,14,East,False,False,False,True,East,1.326596
-6,True,True,True,True,16,15,20,25,17,20,20,23,5,14,East,False,False,False,True,East,-9,True,True,True,True,14,14,14,19,13,14,19,25,8,14,East,False,False,False,True,South,1.442004
-7,True,True,True,True,20,14,17,24,16,15,20,25,6,14,East,False,False,False,True,East,-10,True,True,True,True,14,10,15,18,14,14,14,19,8,13,South,False,False,False,False,South,1.695963
-8,True,True,True,True,13,14,19,25,20,14,17,24,7,14,East,False,False,False,True,East,-11,True,True,True,True,12,5,14,21,14,10,15,18,8,12,South,False,False,False,False,South,2.052766
-9,True,True,True,True,14,14,14,19,13,14,19,25,8,14,East,False,False,False,True,South,-12,True,True,True,True,12,8,12,14,12,5,14,21,8,11,South,False,False,False,False,South,2.096507
-10,True,True,True,True,14,10,15,18,14,14,14,19,8,13,South,False,False,False,False,South,-13,True,True,True,True,9,11,10,12,12,8,12,14,8,10,South,False,False,False,False,South,2.130695
-11,True,True,True,True,12,5,14,21,14,10,15,18,8,12,South,False,False,False,False,South,-14,True,True,True,True,9,7,11,12,9,11,10,12,8,9,South,False,False,False,False,South,2.420522
-12,True,True,True,True,12,8,12,14,12,5,14,21,8,11,South,False,False,False,False,South,-15,True,True,True,True,8,4,8,10,9,7,11,12,8,8,South,False,False,False,False,South,3.259772
-13,True,True,True,True,9,11,10,12,12,8,12,14,8,10,South,False,False,False,False,South,-16,True,True,True,True,10,4,5,11,8,4,8,10,8,7,South,False,False,False,False,South,3.969937
-14,True,True,True,True,9,7,11,12,9,11,10,12,8,9,South,False,False,False,False,South,-17,True,True,True,True,4,4,12,8,10,4,5,11,8,6,South,False,False,False,False,East,4.055312
-15,True,True,True,True,8,4,8,10,9,7,11,12,8,8,South,False,False,False,False,South,-18,True,True,True,True,6,4,3,8,4,4,12,8,9,6,East,False,False,False,False,East,4.162031
-16,True,True,True,True,10,4,5,11,8,4,8,10,8,7,South,False,False,False,False,South,-19,True,True,True,True,5,7,2,6,6,4,3,8,10,6,East,False,False,False,False,North,4.383677
-17,True,True,True,True,4,4,12,8,10,4,5,11,8,6,South,False,False,False,False,East,-20,True,True,True,True,7,2,6,13,5,7,2,6,10,7,North,False,False,False,False,East,5.293249
-18,True,True,True,True,6,4,3,8,4,4,12,8,9,6,East,False,False,False,False,East,-21,True,True,True,True,4,1,8,9,7,2,6,13,11,7,East,False,False,False,False,North,14.203294
-21,True,True,True,True,4,1,8,9,7,2,6,13,11,7,East,False,False,False,False,North,176,True,False,True,True,7,0,8,8,7,0,5,13,12,9,East,False,False,False,False,East,2.988125
178,True,False,True,True,6,0,5,9,4,1,8,9,11,8,North,False,False,False,False,North,175,True,False,True,True,4,0,3,8,7,0,8,8,13,9,East,False,False,False,False,East,4.226062
177,True,False,True,True,7,0,5,13,6,0,5,9,11,9,North,False,False,False,False,East,174,True,False,True,True,6,0,1,8,4,0,3,8,14,9,East,False,False,False,False,South,5.407083
176,True,False,True,True,7,0,8,8,7,0,5,13,12,9,East,False,False,False,False,East,173,True,False,True,True,4,0,3,6,6,0,1,8,14,8,South,False,False,False,False,South,5.549374
175,True,False,True,True,4,0,3,8,7,0,8,8,13,9,East,False,False,False,False,East,172,True,False,True,True,6,0,3,5,4,0,3,6,14,7,South,False,False,False,False,South,5.976249
174,True,False,True,True,6,0,1,8,4,0,3,8,14,9,East,False,False,False,False,South,171,True,False,True,True,5,0,1,3,6,0,3,5,14,6,South,False,False,False,False,South,14.513748
172,True,False,True,True,6,0,3,5,4,0,3,6,14,7,South,False,False,False,False,South,169,True,False,True,True,4,0,6,5,7,0,5,3,13,5,West,False,False,False,False,North,5.976249
171,True,False,True,True,5,0,1,3,6,0,3,5,14,6,South,False,False,False,False,South,168,True,False,True,True,4,0,1,5,4,0,6,5,13,6,North,False,False,False,False,North,16.221248
169,True,False,True,True,4,0,6,5,7,0,5,3,13,5,West,False,False,False,False,North,366,True,False,False,True,1,0,0,10,4,0,0,8,12,7,West,False,False,False,False,North,8.964374
168,True,False,True,True,4,0,1,5,4,0,6,5,13,6,North,False,False,False,False,North,365,True,False,False,True,1,0,0,9,1,0,0,10,12,8,North,False,False,False,False,East,8.964374
367,True,False,False,True,4,0,0,8,4,0,1,5,13,7,North,False,False,False,False,West,364,True,False,False,True,0,0,0,9,1,0,0,9,13,8,East,False,False,False,False,South,8.964374
366,True,False,False,True,1,0,0,10,4,0,0,8,12,7,West,False,False,False,False,North,363,True,False,False,True,2,0,0,7,0,0,0,9,13,7,South,False,False,False,False,East,8.964374
365,True,False,False,True,1,0,0,9,1,0,0,10,12,8,North,False,False,False,False,East,362,True,False,False,True,4,0,0,2,2,0,0,7,14,7,East,False,False,False,False,South,8.964374
-2,True,True,True,True,16,17,23,21,20,19,24,23,2,14,Stop,False,False,False,True,East,-5,True,True,True,True,16,18,18,19,16,18,17,19,5,14,East,False,False,False,True,East,1.167372
-3,True,True,True,True,15,18,18,17,16,17,23,21,3,14,East,False,False,False,True,East,-6,True,True,True,True,13,18,14,16,16,18,18,19,6,14,East,False,False,False,True,East,1.180718
-4,True,True,True,True,16,18,17,19,15,18,18,17,4,14,East,False,False,False,True,East,-7,True,True,True,True,15,12,19,14,13,18,14,16,7,14,East,False,False,False,True,East,1.334357
-5,True,True,True,True,16,18,18,19,16,18,17,19,5,14,East,False,False,False,True,East,-8,True,True,True,True,15,12,18,10,15,12,19,14,8,14,East,False,False,False,True,South,1.43308
-6,True,True,True,True,13,18,14,16,16,18,18,19,6,14,East,False,False,False,True,East,-9,True,True,True,True,10,12,18,17,15,12,18,10,8,13,South,False,False,False,False,South,1.548392
-7,True,True,True,True,15,12,19,14,13,18,14,16,7,14,East,False,False,False,True,East,-10,True,True,True,True,12,12,18,10,10,12,18,17,8,12,South,False,False,False,False,South,1.827324
-8,True,True,True,True,15,12,18,10,15,12,19,14,8,14,East,False,False,False,True,South,-11,True,True,True,True,10,10,17,13,12,12,18,10,8,11,South,False,False,False,False,South,1.849791
-9,True,True,True,True,10,12,18,17,15,12,18,10,8,13,South,False,False,False,False,South,-12,True,True,True,True,5,9,15,13,10,10,17,13,8,10,South,False,False,False,False,South,2.309698
-10,True,True,True,True,12,12,18,10,10,12,18,17,8,12,South,False,False,False,False,South,-13,True,True,True,True,9,10,13,8,5,9,15,13,8,9,South,False,False,False,False,South,3.130416
-11,True,True,True,True,10,10,17,13,12,12,18,10,8,11,South,False,False,False,False,South,-14,True,True,True,True,7,9,12,6,9,10,13,8,8,8,South,False,False,False,False,East,3.152307
-13,True,True,True,True,9,10,13,8,5,9,15,13,8,9,South,False,False,False,False,South,-16,True,True,True,True,12,7,8,3,10,7,9,4,10,8,East,False,False,False,False,East,2.497616
-14,True,True,True,True,7,9,12,6,9,10,13,8,8,8,South,False,False,False,False,East,-17,True,True,True,True,5,8,9,4,12,7,8,3,11,8,East,False,False,False,False,East,2.832897
-15,True,True,True,True,10,7,9,4,7,9,12,6,9,8,East,False,False,False,False,East,-18,True,True,True,True,11,6,9,0,5,8,9,4,12,8,East,False,False,False,False,North,3.229402
-17,True,True,True,True,5,8,9,4,12,7,8,3,11,8,East,False,False,False,False,East,180,True,True,True,False,6,7,11,0,12,6,11,3,13,9,East,False,False,False,False,North,2.497616
-19,True,True,True,True,12,6,11,3,11,6,9,0,12,9,North,False,False,False,False,East,178,True,True,True,False,10,9,10,0,8,6,7,0,13,9,South,False,False,False,False,South,2.56125
180,True,True,True,False,6,7,11,0,12,6,11,3,13,9,East,False,False,False,False,North,177,True,True,True,False,5,1,8,0,10,9,10,0,13,8,South,False,False,False,False,South,3.521718
179,True,True,True,False,8,6,7,0,6,7,11,0,13,10,North,False,False,False,False,South,176,True,True,True,False,5,3,6,0,5,1,8,0,13,7,South,False,False,False,False,South,5.366428
178,True,True,True,False,10,9,10,0,8,6,7,0,13,9,South,False,False,False,False,South,175,True,True,True,False,5,6,4,0,5,3,6,0,13,6,South,False,False,False,False,South,5.450865
177,True,True,True,False,5,1,8,0,10,9,10,0,13,8,South,False,False,False,False,South,174,True,True,True,False,6,1,2,0,5,6,4,0,13,5,South,False,False,False,False,East,14.727186
174,True,True,True,False,6,1,2,0,5,6,4,0,13,5,South,False,False,False,False,East,371,True,False,True,False,8,0,4,0,7,0,4,0,16,5,East,False,False,False,False,East,7.541457
372,True,False,True,False,7,0,4,0,6,0,5,0,15,5,East,False,False,False,False,East,569,True,False,False,False,9,0,0,0,8,0,0,0,17,4,South,False,False,False,False,West,1.992083
371,True,False,True,False,8,0,4,0,7,0,4,0,16,5,East,False,False,False,False,East,568,True,False,False,False,8,0,0,0,9,0,0,0,16,4,West,False,False,False,False,West,2.56125
570,True,False,False,False,8,0,0,0,8,0,4,0,17,5,East,False,False,False,False,South,567,True,False,False,False,1,0,0,0,8,0,0,0,15,4,West,False,False,False,False,West,3.58575
569,True,False,False,False,9,0,0,0,8,0,0,0,17,4,South,False,False,False,False,West,566,True,False,False,False,2,0,0,0,1,0,0,0,14,4,West,False,False,False,False,West,4.482187
568,True,False,False,False,8,0,0,0,9,0,0,0,16,4,West,False,False,False,False,West,565,True,False,False,False,5,0,0,0,2,0,0,0,13,4,West,False,False,False,False,West,4.482187
567,True,False,False,False,1,0,0,0,8,0,0,0,15,4,West,False,False,False,False,West,564,True,False,False,False,7,0,0,0,5,0,0,0,12,4,West,False,False,False,False,West,4.482187
566,True,False,False,False,2,0,0,0,1,0,0,0,14,4,West,False,False,False,False,West,563,True,False,False,False,4,0,0,0,7,0,0,0,11,4,West,False,False,False,False,West,4.482187
565,True,False,False,False,5,0,0,0,2,0,0,0,13,4,West,False,False,False,False,West,562,True,False,False,False,2,0,0,0,4,0,0,0,10,4,West,False,False,False,False,West,4.482187
564,True,False,False,False,7,0,0,0,5,0,0,0,12,4,West,False,False,False,False,West,561,True,False,False,False,4,0,0,0,2,0,0,0,9,4,West,False,False,False,False,South,8.964374
-2,True,True,True,True,19,21,25,24,18,18,21,23,2,14,Stop,False,False,False,True,East,-5,True,True,True,True,15,16,21,23,15,14,24,22,5,14,East,False,False,False,True,East,1.222082
-3,True,True,True,True,17,15,23,20,19,21,25,24,3,14,East,False,False,False,True,East,-6,True,True,True,True,14,14,16,20,15,16,21,23,6,14,East,False,False,False,True,East,1.319172
-4,True,True,True,True,15,14,24,22,17,15,23,20,4,14,East,False,False,False,True,East,-7,True,True,True,True,9,14,18,21,14,14,16,20,7,14,East,False,False,False,True,East,1.530097
-5,True,True,True,True,15,16,21,23,15,14,24,22,5,14,East,False,False,False,True,East,-8,True,True,True,True,11,10,17,18,9,14,18,21,8,14,East,False,False,False,True,South,1.548392
-6,True,True,True,True,14,14,16,20,15,16,21,23,6,14,East,False,False,False,True,East,-9,True,True,True,True,9,13,12,20,11,10,17,18,8,13,South,False,False,False,False,South,1.579542
-7,True,True,True,True,9,14,18,21,14,14,16,20,7,14,East,False,False,False,True,East,-10,True,True,True,True,10,12,13,19,9,13,12,20,8,12,South,False,False,False,False,South,1.579542
-8,True,True,True,True,11,10,17,18,9,14,18,21,8,14,East,False,False,False,True,South,-11,True,True,True,True,9,8,11,16,10,12,13,19,8,11,South,False,False,False,False,South,1.918642
-9,True,True,True,True,9,13,12,20,11,10,17,18,8,13,South,False,False,False,False,South,-12,True,True,True,True,8,8,14,16,9,8,11,16,8,10,South,False,False,False,False,South,2.130695
-10,True,True,True,True,10,12,13,19,9,13,12,20,8,12,South,False,False,False,False,South,-13,True,True,True,True,6,5,9,16,8,8,14,16,8,9,South,False,False,False,False,South,2.14962
-11,True,True,True,True,9,8,11,16,10,12,13,19,8,11,South,False,False,False,False,South,-14,True,True,True,True,6,5,10,12,6,5,9,16,8,8,South,False,False,False,False,South,2.832897
-12,True,True,True,True,8,8,14,16,9,8,11,16,8,10,South,False,False,False,False,South,-15,True,True,True,True,5,4,8,12,6,5,10,12,8,7,South,False,False,False,False,South,3.370065
-13,True,True,True,True,6,5,9,16,8,8,14,16,8,9,South,False,False,False,False,South,-16,True,True,True,True,6,7,8,9,5,4,8,12,8,6,South,False,False,False,False,East,5.293249
-14,True,True,True,True,6,5,10,12,6,5,9,16,8,8,South,False,False,False,False,South,-17,True,True,True,True,2,2,9,7,6,7,8,9,9,6,East,False,False,False,False,South,5.293249
-15,True,True,True,True,5,4,8,12,6,5,10,12,8,7,South,False,False,False,False,South,-18,True,True,True,True,5,2,8,8,2,2,9,7,9,5,South,False,False,False,False,East,14.086873
-17,True,True,True,True,2,2,9,7,6,7,8,9,9,6,East,False,False,False,False,South,180,True,False,True,True,1,0,5,8,3,0,6,7,11,5,East,False,False,False,False,North,14.513748
180,True,False,True,True,1,0,5,8,3,0,6,7,11,5,East,False,False,False,False,North,377,False,False,True,True,0,0,8,7,0,0,8,5,12,7,East,False,False,False,False,South,2.56125
379,False,False,True,True,0,0,5,8,1,0,5,8,11,6,North,False,False,False,False,North,376,False,False,True,True,0,0,7,8,0,0,8,7,12,6,South,False,False,False,False,South,2.988125
378,False,False,True,True,0,0,8,5,0,0,5,8,11,7,North,False,False,False,False,East,375,False,False,True,True,0,0,3,5,0,0,7,8,12,5,South,False,False,False,False,East,4.482187
377,False,False,True,True,0,0,8,7,0,0,8,5,12,7,East,False,False,False,False,South,374,False,False,True,True,0,0,4,4,0,0,3,5,13,5,East,False,False,False,False,East,4.482187
376,False,False,True,True,0,0,7,8,0,0,8,7,12,6,South,False,False,False,False,South,373,False,False,True,True,0,0,3,0,0,0,4,4,14,5,East,False,False,False,False,East,8.964374
-2,True,True,True,True,23,27,25,25,24,25,27,20,17,3,Stop,False,True,False,False,North,-5,True,True,True,True,23,27,24,17,22,23,24,17,15,4,West,False,False,False,False,West,0.808095
-3,True,True,True,True,24,25,25,21,23,27,25,25,17,4,North,False,False,False,False,West,-6,True,True,True,True,22,22,22,16,23,27,24,17,14,4,West,False,False,False,False,West,0.846244
-4,True,True,True,True,22,23,24,17,24,25,25,21,16,4,West,False,False,False,False,West,-7,True,True,True,True,19,21,25,19,22,22,22,16,13,4,West,False,False,False,False,West,0.934479
-5,True,True,True,True,23,27,24,17,22,23,24,17,15,4,West,False,False,False,False,West,-8,True,True,True,True,18,20,19,10,19,21,25,19,12,4,West,False,False,False,False,West,1.037892
-6,True,True,True,True,22,22,22,16,23,27,24,17,14,4,West,False,False,False,False,West,-9,True,True,True,True,17,20,15,13,18,20,19,10,11,4,West,False,False,False,False,West,1.167372
-7,True,True,True,True,19,21,25,19,22,22,22,16,13,4,West,False,False,False,False,West,-10,True,True,True,True,13,14,15,11,17,20,15,13,10,4,West,False,False,False,False,North,1.2417
-8,True,True,True,True,18,20,19,10,19,21,25,19,12,4,West,False,False,False,False,West,-11,True,True,True,True,14,16,12,11,13,14,15,11,10,5,North,False,False,False,False,North,1.43308
-9,True,True,True,True,17,20,15,13,18,20,19,10,11,4,West,False,False,False,False,West,-12,True,True,True,True,12,16,12,11,14,16,12,11,10,6,North,False,False,False,False,North,1.451375
-10,True,True,True,True,13,14,15,11,17,20,15,13,10,4,West,False,False,False,False,North,-13,True,True,True,True,10,15,10,12,12,16,12,11,10,7,North,False,False,False,False,North,1.73261
-11,True,True,True,True,14,16,12,11,13,14,15,11,10,5,North,False,False,False,False,North,-14,True,True,True,True,9,11,9,4,10,15,10,12,10,8,North,False,False,False,False,North,1.935166
-12,True,True,True,True,12,16,12,11,14,16,12,11,10,6,North,False,False,False,False,North,-15,True,True,True,True,10,11,8,3,9,11,9,4,10,9,North,False,False,False,False,North,2.191839
-13,True,True,True,True,10,15,10,12,12,16,12,11,10,7,North,False,False,False,False,North,-16,True,True,True,True,9,8,8,4,10,11,8,3,10,10,North,False,False,False,False,West,2.469776
-14,True,True,True,True,9,11,9,4,10,15,10,12,10,8,North,False,False,False,False,North,-17,True,True,True,True,4,6,10,1,9,8,8,4,9,10,West,False,False,False,False,West,3.370065
-15,True,True,True,True,10,11,8,3,9,11,9,4,10,9,North,False,False,False,False,North,-18,True,True,True,True,3,1,10,1,4,6,10,1,8,10,West,False,False,False,False,North,4.162031
-16,True,True,True,True,9,8,8,4,10,11,8,3,10,10,North,False,False,False,False,West,181,True,True,True,False,7,2,7,0,3,1,10,1,8,11,North,False,False,False,False,North,7.500803
-17,True,True,True,True,4,6,10,1,9,8,8,4,9,10,West,False,False,False,False,West,180,True,True,True,False,2,2,9,0,7,2,7,0,8,12,North,False,False,False,False,East,13.988364
181,True,True,True,False,7,2,7,0,3,1,10,1,8,11,North,False,False,False,False,North,178,True,True,True,False,2,3,9,0,4,4,10,0,8,12,West,False,False,False,False,North,14.086873
179,True,True,True,False,4,4,10,0,2,2,9,0,9,12,East,False,False,False,False,West,376,True,False,True,False,2,0,7,0,5,0,8,0,8,12,South,False,False,False,False,South,7.191201
178,True,True,True,False,2,3,9,0,4,4,10,0,8,12,West,False,False,False,False,North,375,True,False,True,False,3,0,10,0,2,0,7,0,8,11,South,False,False,False,False,West,7.334488
377,True,False,True,False,5,0,8,0,2,3,9,0,8,13,North,False,False,False,False,South,374,True,False,True,False,2,0,9,0,3,0,10,0,7,11,West,False,False,False,False,West,7.427624
376,True,False,True,False,2,0,7,0,5,0,8,0,8,12,South,False,False,False,False,South,373,True,False,True,False,1,0,7,0,2,0,9,0,6,11,West,False,False,False,False,West,14.26982
374,True,False,True,False,2,0,9,0,3,0,10,0,7,11,West,False,False,False,False,West,571,False,False,True,False,0,0,8,0,0,0,6,0,4,11,West,False,False,False,False,West,2.988125
373,True,False,True,False,1,0,7,0,2,0,9,0,6,11,West,False,False,False,False,West,570,False,False,True,False,0,0,1,0,0,0,8,0,3,11,West,False,False,False,False,South,4.482187
572,False,False,True,False,0,0,6,0,1,0,7,0,5,11,West,False,False,False,False,West,569,False,False,True,False,0,0,4,0,0,0,1,0,3,10,South,False,False,False,False,South,4.482187
571,False,False,True,False,0,0,8,0,0,0,6,0,4,11,West,False,False,False,False,West,568,False,False,True,False,0,0,0,0,0,0,4,0,3,9,South,False,False,False,False,West,8.964374
570,False,False,True,False,0,0,1,0,0,0,8,0,3,11,West,False,False,False,False,South,567,False,False,True,False,0,0,5,0,0,0,0,0,2,9,West,False,False,False,False,West,8.964374
569,False,False,True,False,0,0,4,0,0,0,1,0,3,10,South,False,False,False,False,South,566,False,False,True,False,0,0,3,0,0,0,5,0,1,9,West,True,False,False,False,South,8.964374
568,False,False,True,False,0,0,0,0,0,0,4,0,3,9,South,False,False,False,False,West,565,False,False,True,False,0,0,5,0,0,0,3,0,1,8,South,True,False,False,False,South,8.964374
567,False,False,True,False,0,0,5,0,0,0,0,0,2,9,West,False,False,False,False,West,564,False,False,True,False,0,0,0,0,0,0,5,0,1,7,South,True,False,False,False,South,17.928748
-2,True,True,True,True,25,25,24,22,25,22,24,23,17,3,Stop,False,True,False,False,North,-5,True,True,True,True,20,25,28,26,26,23,23,21,16,5,North,False,False,False,False,North,0.846244
-3,True,True,True,True,23,26,24,23,25,25,24,22,17,4,North,False,False,False,False,West,-6,True,True,True,True,21,21,22,20,20,25,28,26,16,6,North,False,False,False,False,North,0.888175
-4,True,True,True,True,26,23,23,21,23,26,24,23,16,4,West,False,False,False,False,North,-7,True,True,True,True,22,19,23,19,21,21,22,20,16,7,North,False,False,False,False,North,0.892239
-5,True,True,True,True,20,25,28,26,26,23,23,21,16,5,North,False,False,False,False,North,-8,True,True,True,True,21,18,20,22,22,19,23,19,16,8,North,False,False,False,False,North,0.934479
-6,True,True,True,True,21,21,22,20,20,25,28,26,16,6,North,False,False,False,False,North,-9,True,True,True,True,22,19,19,18,21,18,20,22,16,9,North,False,False,False,False,West,0.985878
-7,True,True,True,True,22,19,23,19,21,21,22,20,16,7,North,False,False,False,False,North,-10,True,True,True,True,19,18,15,17,22,19,19,18,15,9,West,False,False,False,False,West,1.095919
-8,True,True,True,True,21,18,20,22,22,19,23,19,16,8,North,False,False,False,False,North,-11,True,True,True,True,17,18,15,17,19,18,15,17,14,9,West,False,False,False,False,West,1.101714
-9,True,True,True,True,22,19,19,18,21,18,20,22,16,9,North,False,False,False,False,West,-12,True,True,True,True,16,13,11,10,17,18,15,17,13,9,West,False,False,False,False,West,1.256232
-10,True,True,True,True,19,18,15,17,22,19,19,18,15,9,West,False,False,False,False,West,-13,True,True,True,True,15,16,16,13,16,13,11,10,12,9,West,False,False,False,False,West,1.256232
-11,True,True,True,True,17,18,15,17,19,18,15,17,14,9,West,False,False,False,False,West,-14,True,True,True,True,13,16,13,14,15,16,16,13,11,9,West,False,False,False,False,West,1.359913
-12,True,True,True,True,16,13,11,10,17,18,15,17,13,9,West,False,False,False,False,West,-15,True,True,True,True,5,14,14,11,13,16,13,14,10,9,West,False,False,False,False,West,1.579542
-13,True,True,True,True,15,16,16,13,16,13,11,10,12,9,West,False,False,False,False,West,-16,True,True,True,True,11,9,10,10,5,14,14,11,9,9,West,False,False,False,False,West,1.61619
-14,True,True,True,True,13,16,13,14,15,16,16,13,11,9,West,False,False,False,False,West,-17,True,True,True,True,11,10,11,10,11,9,10,10,8,9,West,False,False,False,False,West,1.935166
-15,True,True,True,True,5,14,14,11,13,16,13,14,10,9,West,False,False,False,False,West,-18,True,True,True,True,7,6,9,4,11,10,11,10,7,9,West,False,False,False,False,West,2.169948
-16,True,True,True,True,11,9,10,10,5,14,14,11,9,9,West,False,False,False,False,West,-19,True,True,True,True,4,9,13,5,7,6,9,4,6,9,West,False,False,False,False,North,2.469776
-17,True,True,True,True,11,10,11,10,11,9,10,10,8,9,West,False,False,False,False,West,-20,True,True,True,True,6,8,8,6,4,9,13,5,6,10,North,False,False,False,False,West,2.90275
-18,True,True,True,True,7,6,9,4,11,10,11,10,7,9,West,False,False,False,False,West,-21,True,True,True,True,5,3,9,5,6,8,8,6,5,10,West,False,False,False,False,West,4.226062
-19,True,True,True,True,4,9,13,5,7,6,9,4,6,9,West,False,False,False,False,North,-22,True,True,True,True,2,4,3,4,5,3,9,5,4,10,West,False,False,False,False,West,7.683749
-21,True,True,True,True,5,3,9,5,6,8,8,6,5,10,West,False,False,False,False,West,176,False,True,True,True,0,12,4,0,0,3,4,5,2,10,West,False,False,False,False,West,5.549374
-22,True,True,True,True,2,4,3,4,5,3,9,5,4,10,West,False,False,False,False,West,175,False,True,True,True,0,3,4,0,0,12,4,0,1,10,West,True,False,False,False,North,5.976249
177,False,True,True,True,0,3,4,5,2,4,3,4,3,10,West,False,False,False,False,West,174,False,True,True,True,0,4,2,2,0,3,4,0,1,11,North,True,False,False,False,South,8.964374
172,False,True,True,True,0,4,3,3,0,5,3,3,1,9,South,True,False,False,False,South,369,False,True,True,False,0,4,6,0,0,3,6,0,2,7,South,False,False,False,False,North,2.988125
171,False,True,True,True,0,6,5,5,0,4,3,3,1,8,South,True,False,False,False,East,368,False,True,True,False,0,7,7,0,0,4,6,0,2,8,North,False,False,False,False,North,2.988125
