@relation prueba-weka.filters.unsupervised.attribute.Remove-R19-37

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}

@data
580,4,0,0,13,0,0,0,13,0,7,6,North,False,False,False,False,North
579,4,0,0,13,0,0,0,13,0,7,7,North,False,False,False,False,North
578,4,0,0,11,0,0,0,13,0,7,8,North,False,False,False,False,North
577,4,0,0,9,0,0,0,11,0,7,9,North,False,False,False,False,North
576,4,0,0,8,0,0,0,9,0,7,10,North,False,False,False,False,North
575,4,0,0,8,0,0,0,8,0,7,11,North,False,False,False,False,West
574,4,0,0,7,0,0,0,8,0,6,11,West,False,False,False,False,West
573,4,0,0,5,0,0,0,7,0,5,11,West,False,False,False,False,West
571,4,0,0,3,0,0,0,5,0,4,12,North,False,False,False,False,West
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-1,4,0,10,9,5,0,11,9,5,12,10,Stop,False,False,False,False,North
-2,4,0,12,9,5,0,10,9,5,12,11,North,False,False,False,False,North
-4,4,0,11,9,5,0,12,9,7,12,11,South,False,False,False,False,South
-5,4,0,9,10,4,0,11,9,5,12,10,South,False,False,False,False,East
194,4,0,11,12,5,0,9,10,4,13,10,East,False,False,False,False,West
193,4,0,10,10,5,0,11,12,5,12,10,West,False,False,False,False,South
192,4,0,10,12,4,0,10,10,5,12,9,South,False,False,False,False,West
191,4,0,10,10,3,0,10,12,4,11,9,West,False,False,False,False,South
189,4,0,8,10,3,0,10,10,3,11,7,South,False,False,False,False,West
387,4,0,9,6,0,0,7,8,1,10,8,North,False,False,False,False,West
385,4,0,9,4,0,0,7,4,0,9,9,North,False,False,False,False,West
384,4,0,8,4,0,0,9,4,0,8,9,West,False,False,False,False,North
383,4,0,10,4,0,0,8,4,0,8,10,North,False,False,False,False,North
382,4,0,10,4,0,0,10,4,0,8,11,North,False,False,False,False,West
381,4,0,8,4,0,0,10,4,0,7,11,West,False,False,False,False,West
380,4,0,7,4,0,0,8,4,0,6,11,West,False,False,False,False,North
378,4,0,6,2,0,0,7,4,0,5,12,West,False,False,False,False,West
377,4,0,6,1,0,0,6,2,0,4,12,West,False,False,False,False,West
576,4,0,6,0,0,0,6,1,0,3,12,West,False,False,False,False,South
575,4,0,6,0,0,0,6,0,0,3,11,South,False,False,False,False,South
0,4,0,11,7,7,0,0,0,0,1,11,Stop,True,False,False,True,Stop
-1,4,0,10,8,7,0,11,7,7,1,11,Stop,True,False,False,True,Stop
-3,4,0,9,7,7,0,9,7,7,2,11,East,False,True,False,True,East
-4,4,0,11,6,6,0,9,7,7,3,11,East,False,True,False,True,East
-6,4,0,13,6,5,0,13,6,6,5,11,East,False,False,False,True,East
-7,4,0,11,5,5,0,13,6,5,6,11,East,False,False,False,True,East
-10,4,0,14,4,2,0,15,5,3,9,11,East,False,True,False,True,East
