@relation 'prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast-weka.filters.unsupervised.attribute.Remove-R22-43-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 4-I21-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 4-I21'

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
0.06869,True,True,True,True,0.547619,0.543478,0.454545,0.452381,0.547619,0.586957,0.431818,0.47619,0.64,0.416667,Stop,False,True,False,True,West,cluster4
0.067093,True,True,True,True,0.380952,0.521739,0.431818,0.428571,0.547619,0.543478,0.454545,0.452381,0.6,0.416667,West,False,True,False,True,West,cluster4
0.065495,True,True,True,True,0.5,0.521739,0.363636,0.380952,0.380952,0.521739,0.431818,0.428571,0.56,0.416667,West,True,False,False,True,South,cluster10
0.063898,True,True,True,True,0.547619,0.543478,0.363636,0.357143,0.5,0.521739,0.363636,0.380952,0.56,0.375,South,True,False,True,False,South,cluster8
0.0623,True,True,True,True,0.47619,0.391304,0.431818,0.357143,0.547619,0.543478,0.363636,0.357143,0.56,0.333333,South,False,True,False,False,West,cluster7
0.060703,True,True,True,True,0.452381,0.326087,0.340909,0.261905,0.47619,0.391304,0.431818,0.357143,0.52,0.333333,West,False,True,False,True,West,cluster4
0.059105,True,True,True,True,0.547619,0.369565,0.340909,0.380952,0.452381,0.326087,0.340909,0.261905,0.48,0.333333,West,False,False,False,False,South,cluster6
0.057508,True,True,True,True,0.404762,0.369565,0.204545,0.309524,0.547619,0.369565,0.340909,0.380952,0.48,0.291667,South,True,False,True,False,South,cluster8
0.055911,True,True,True,True,0.357143,0.304348,0.295455,0.357143,0.404762,0.369565,0.204545,0.309524,0.48,0.25,South,True,False,True,False,South,cluster8
0.054313,True,True,True,True,0.380952,0.369565,0.25,0.214286,0.357143,0.304348,0.295455,0.357143,0.48,0.208333,South,True,False,True,False,South,cluster8
