@relation prueba-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West}

@data
-2,True,True,True,True,17,14,8,20,4,11,South,False,False,False,False,East
-5,True,True,True,True,11,10,12,11,1,14,South,True,False,False,False,South
-2,True,True,True,True,11,13,16,20,5,12,East,False,False,False,True,East
-4,True,True,True,True,15,10,13,12,1,17,South,True,False,True,False,South
574,False,False,False,True,0,0,0,8,8,8,North,False,False,False,False,North
-5,True,True,True,True,11,28,27,24,1,15,South,True,False,False,False,South
371,False,False,True,True,0,0,12,26,9,10,North,False,False,False,False,North
-11,True,True,True,True,2,9,18,17,9,7,South,False,False,False,False,South
-15,True,True,True,True,6,10,19,33,1,6,South,True,False,False,False,East
568,False,False,False,True,0,0,0,7,9,6,East,False,False,False,False,East
-12,True,True,True,True,3,3,9,13,10,7,South,False,False,False,False,West
375,False,False,True,True,0,0,6,7,3,8,West,True,False,False,False,North
374,False,False,True,True,0,0,13,12,14,3,South,False,True,False,False,North
386,True,False,False,True,3,0,0,7,8,5,South,False,False,False,False,West
385,True,False,False,True,5,0,0,12,7,8,East,False,False,False,False,South
565,False,False,False,True,0,0,0,10,10,4,East,False,False,False,False,North
-21,True,True,True,True,0,7,16,22,4,8,East,False,False,False,False,North
358,False,False,True,True,0,0,13,12,14,14,South,False,False,False,False,East
567,False,False,False,True,0,0,0,6,10,4,East,False,False,False,False,North
372,False,False,True,True,0,0,13,10,14,5,North,False,False,False,False,North
350,False,False,True,True,0,0,16,18,10,13,North,False,False,True,False,North
355,False,False,True,True,0,0,13,10,17,14,East,False,False,False,False,East
375,False,False,True,True,0,0,6,7,3,8,West,True,False,False,False,North
540,False,False,True,False,0,0,16,0,25,15,South,False,False,True,False,West
365,False,True,False,True,0,0,0,17,14,4,West,False,False,False,False,West
557,False,False,False,True,0,0,0,11,16,4,East,False,False,False,False,East
385,True,False,False,True,9,0,0,17,5,9,West,False,False,False,False,West
-17,True,True,True,True,5,6,18,29,3,5,East,False,False,False,False,North
579,False,False,False,True,0,0,0,10,5,5,East,False,False,False,True,East
186,True,False,True,True,2,0,8,10,1,5,South,True,False,False,False,East
528,False,False,True,False,0,0,12,0,18,10,West,False,True,False,False,West
380,False,False,True,True,0,0,0,6,3,7,North,True,False,False,False,North
553,False,False,False,True,0,0,0,7,18,6,North,False,False,False,False,North
573,False,False,False,True,0,0,0,11,11,5,East,False,False,False,True,East
366,False,True,False,True,0,2,0,10,15,4,South,False,False,False,False,West
-1,True,True,True,True,12,5,5,19,1,11,Stop,True,False,False,True,East
165,False,True,True,True,0,3,14,26,8,6,East,False,False,False,False,South
357,False,False,True,True,0,0,15,25,10,6,North,False,False,False,False,North
189,False,True,True,True,0,4,13,13,9,7,East,False,False,False,False,East
527,False,False,True,False,0,0,13,0,22,16,North,False,False,False,True,West
-9,True,True,True,True,11,12,18,28,1,10,South,True,False,True,False,South
575,False,False,False,True,0,0,0,10,8,7,North,False,False,False,False,North
183,True,False,True,True,3,0,4,10,9,7,South,False,False,False,False,South
172,True,False,True,True,3,0,20,25,8,4,North,True,False,False,False,North
386,True,False,False,True,10,0,0,15,6,9,West,False,False,False,False,West
-9,True,True,True,True,4,10,13,12,9,9,East,False,False,False,False,South
517,False,False,True,False,0,0,0,0,14,3,South,False,True,False,False,West
359,False,False,True,True,0,0,16,17,10,4,North,False,False,False,False,North
360,False,False,True,True,0,0,15,12,13,15,East,False,False,False,False,East
541,False,False,True,False,0,0,16,0,23,16,West,False,False,False,True,West
